cidade_slug,cidade_origem,vende_ftth,vende_5g,vende_fwa,lancamento_comercial
triunfo-potiguar-rn,TRIUNFO POTIGUAR/RN,true,true,false,2025-09-16
parana-rn,PARANA/RN,true,true,false,2025-09-02
caicara-do-rio-do-vento-rn,CAICARA DO RIO DO VENTO/RN,false,true,true,2024-04-09
buriti-dos-montes-pi,BURITI DOS MONTES/PI,false,true,true,2025-03-13
santa-helena-pb,SANTA HELENA/PB,false,true,false,2025-10-02
frutuoso-gomes-rn,FRUTUOSO GOMES/RN,false,true,true,2024-03-04
hugo-napoleao-pi,HUGO NAPOLEAO/PI,false,true,true,2024-12-30
santa-cruz-pb,SANTA CRUZ/PB,false,true,false,2025-12-04
parau-rn,PARAU/RN,true,true,false,2024-07-29
sao-bentinho-pb,SAO BENTINHO/PB,true,true,false,2025-10-02
taipu-rn,TAIPU/RN,false,true,true,2024-10-26
major-sales-rn,MAJOR SALES/RN,false,true,true,2024-12-18
janduis-rn,JANDUIS/RN,true,true,true,2024-05-09
messias-targino-rn,MESSIAS TARGINO/RN,true,true,false,2025-09-02
pacuja-ce,PACUJA/CE,true,true,false,2024-08-30
senador-georgino-avelino-rn,SENADOR GEORGINO AVELINO/RN,false,true,true,2024-02-09
alcantaras-ce,ALCANTARAS/CE,false,true,true,2024-08-07
cachoeira-dos-indios-pb,CACHOEIRA DOS INDIOS/PB,false,true,true,2024-04-02
aparecida-pb,APARECIDA/PB,false,true,true,2024-12-06
itau-rn,ITAU/RN,false,true,true,2024-09-30
portalegre-rn,PORTALEGRE/RN,false,true,false,2024-07-29
ibaretama-ce,IBARETAMA/CE,true,true,true,2024-09-30
pacoti-ce,PACOTI/CE,true,true,false,2024-08-07
tibau-rn,TIBAU/RN,false,true,false,2024-07-24
itaicaba-ce,ITAICABA/CE,false,true,false,2024-07-24
carnaubais-rn,CARNAUBAIS/RN,false,true,false,2024-11-04
potengi-ce,POTENGI/CE,false,true,true,2024-12-06
coite-do-noia-al,COITE DO NOIA/AL,false,true,true,2024-08-07
malta-pb,MALTA/PB,false,true,true,2025-02-06
serra-do-mel-rn,SERRA DO MEL/RN,false,true,true,2024-10-18
abaiara-ce,ABAIARA/CE,false,true,false,2024-09-19
marizopolis-pb,MARIZOPOLIS/PB,true,true,false,2024-06-05
pio-ix-pi,PIO IX/PI,false,true,true,2024-10-18
iguaracy-pe,IGUARACY/PE,false,true,true,2025-01-21
sao-mamede-pb,SAO MAMEDE/PB,false,true,true,2025-02-21
ipaporanga-ce,IPAPORANGA/CE,false,true,true,2024-10-28
martins-rn,MARTINS/RN,false,true,false,2024-07-12
itaja-rn,ITAJA/RN,true,true,true,2024-09-03
ibicuitinga-ce,IBICUITINGA/CE,false,true,true,2024-09-03
catunda-ce,CATUNDA/CE,true,true,false,2024-03-04
tejucuoca-ce,TEJUCUOCA/CE,false,true,false,2024-08-27
camutanga-pe,CAMUTANGA/PE,false,true,false,2024-12-17
ipaumirim-ce,IPAUMIRIM/CE,false,true,true,2025-05-06
governador-dix-sept-rosado-rn,GOVERNADOR DIX SEPT ROSADO/RN,false,true,true,2024-06-26
mulungu-ce,MULUNGU/CE,true,true,false,2024-08-30
santa-terezinha-pe,SANTA TEREZINHA/PE,false,true,false,2024-07-29
ipanguacu-rn,IPANGUACU/RN,false,true,true,2024-11-29
baia-formosa-rn,BAIA FORMOSA/RN,false,true,true,2024-10-18
quiterianopolis-ce,QUITERIANOPOLIS/CE,false,true,true,2025-02-28
grossos-rn,GROSSOS/RN,false,true,true,2024-12-26
santana-do-cariri-ce,SANTANA DO CARIRI/CE,true,true,false,2024-07-24
tenente-ananias-rn,TENENTE ANANIAS/RN,false,true,false,2025-12-16
belem-de-maria-pe,BELEM DE MARIA/PE,true,true,false,2024-10-16
porteiras-ce,PORTEIRAS/CE,false,true,true,2025-01-07
upanema-rn,UPANEMA/RN,false,true,true,2024-02-27
groairas-ce,GROAIRAS/CE,false,true,true,2024-07-29
sao-joao-do-rio-do-peixe-pb,SAO JOAO DO RIO DO PEIXE/PB,false,true,true,2024-09-03
meruoca-ce,MERUOCA/CE,false,true,false,2025-09-02
lajes-rn,LAJES/RN,false,true,true,2024-08-12
uruoca-ce,URUOCA/CE,false,true,true,2024-09-03
martinopole-ce,MARTINOPOLE/CE,true,true,false,2024-08-27
jatoba-pe,JATOBA/PE,true,true,false,2024-08-30
serra-preta-ba,SERRA PRETA/BA,false,true,true,2024-12-13
farias-brito-ce,FARIAS BRITO/CE,false,true,true,2025-05-12
machados-pe,MACHADOS/PE,true,true,false,2024-04-02
carius-ce,CARIUS/CE,false,true,true,2025-02-28
