cidade_slug,cidade_origem,canal,tecnologia,mes_ref,meta,realizado,desvio
acarau-ce,ACARAU/CE,DONO CIDADE - LOJAS,5g,2026-01-01,80,59,-21
acarau-ce,ACARAU/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,36,23,-13
acarau-ce,ACARAU/CE,PAP,5g,2026-01-01,30,13,-17
acarau-ce,ACARAU/CE,PAP,ftth,2026-01-01,180,9,-171
acopiara-ce,ACOPIARA/CE,LOJA,5g,2026-01-01,80,40,-40
acopiara-ce,ACOPIARA/CE,LOJA,ftth,2026-01-01,38,28,-10
acopiara-ce,ACOPIARA/CE,PAP,5g,2026-01-01,10,9,-1
acopiara-ce,ACOPIARA/CE,PAP,ftth,2026-01-01,60,15,-45
acu-rn,ACU/RN,DONO CIDADE - LOJAS,5g,2026-01-01,164,196,32
acu-rn,ACU/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,64,53,-11
agua-nova-rn,AGUA NOVA/RN,PAP,5g,2026-01-01,10,7,-3
agua-nova-rn,AGUA NOVA/RN,PAP,ftth,2026-01-01,60,16,-44
alagoinhas-ba,ALAGOINHAS/BA,DONO CIDADE - LOJAS,ftth,2026-01-01,20,22,2
alagoinhas-ba,ALAGOINHAS/BA,LOJA,ftth,2026-01-01,20,23,3
altos-pi,ALTOS/PI,DONO CIDADE - LOJAS,ftth,2026-01-01,24,31,7
apodi-rn,APODI/RN,DONO CIDADE - LOJAS,5g,2026-01-01,96,96,0
apodi-rn,APODI/RN,PAP,ftth,2026-01-01,89,34,-55
aracaju-se,ARACAJU/SE,LOJA,ftth,2026-01-01,63,71,8
arapiraca-al,ARAPIRACA/AL,LOJA,ftth,2026-01-01,20,26,6
araripina-pe,ARARIPINA/PE,DONO CIDADE - LOJAS,5g,2026-01-01,40,46,6
araripina-pe,ARARIPINA/PE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,31,1
araripina-pe,ARARIPINA/PE,PAP,ftth,2026-01-01,152,36,-116
arcoverde-pe,ARCOVERDE/PE,LOJA,5g,2026-01-01,20,20,0
arcoverde-pe,ARCOVERDE/PE,LOJA,ftth,2026-01-01,12,18,6
arcoverde-pe,ARCOVERDE/PE,PAP,ftth,2026-01-01,79,24,-55
banabuiu-ce,BANABUIU/CE,DONO CIDADE - LOJAS,5g,2026-01-01,47,38,-9
banabuiu-ce,BANABUIU/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,25,-5
barauna-rn,BARAUNA/RN,DONO CIDADE - LOJAS,5g,2026-01-01,34,61,27
barauna-rn,BARAUNA/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,13,14,1
barbalha-ce,BARBALHA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,40,42,2
barbalha-ce,BARBALHA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,25,21,-4
barbalha-ce,BARBALHA/CE,PAP,5g,2026-01-01,9,4,-5
barbalha-ce,BARBALHA/CE,PAP,ftth,2026-01-01,57,5,-52
bayeux-pb,BAYEUX/PB,DONO CIDADE - LOJAS,5g,2026-01-01,45,51,6
bayeux-pb,BAYEUX/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,21,25,4
bayeux-pb,BAYEUX/PB,PAP,ftth,2026-01-01,410,90,-320
belo-jardim-pe,BELO JARDIM/PE,LOJA,5g,2026-01-01,44,10,-34
belo-jardim-pe,BELO JARDIM/PE,LOJA,ftth,2026-01-01,32,17,-15
belo-jardim-pe,BELO JARDIM/PE,PAP,ftth,2026-01-01,181,20,-161
bezerros-pe,BEZERROS/PE,LOJA,5g,2026-01-01,50,39,-11
bezerros-pe,BEZERROS/PE,LOJA,ftth,2026-01-01,34,33,-1
bezerros-pe,BEZERROS/PE,PAP,5g,2026-01-01,11,31,20
bezerros-pe,BEZERROS/PE,PAP,ftth,2026-01-01,63,21,-42
bom-conselho-pe,BOM CONSELHO/PE,4 J LOJAS,5g,2026-01-01,30,19,-11
bom-conselho-pe,BOM CONSELHO/PE,4 J LOJAS,ftth,2026-01-01,14,11,-3
brejo-santo-ce,BREJO SANTO/CE,DONO CIDADE - LOJAS,5g,2026-01-01,42,40,-2
brejo-santo-ce,BREJO SANTO/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,16,21,5
brejo-santo-ce,BREJO SANTO/CE,PAP,5g,2026-01-01,30,53,23
brejo-santo-ce,BREJO SANTO/CE,PAP,ftth,2026-01-01,180,49,-131
brejo-santo-ce,BREJO SANTO/CE,QUIOSQUES,5g,2026-01-01,10,33,23
brejo-santo-ce,BREJO SANTO/CE,QUIOSQUES,ftth,2026-01-01,60,20,-40
cabedelo-pb,CABEDELO/PB,LOJA,5g,2026-01-01,30,27,-3
cabedelo-pb,CABEDELO/PB,LOJA,ftth,2026-01-01,20,28,8
cabedelo-pb,CABEDELO/PB,PAP,ftth,2026-01-01,82,25,-57
cabo-de-santo-agostinho-pe,CABO DE SANTO AGOSTINHO/PE,LOJA,ftth,2026-01-01,30,42,12
caico-rn,CAICO/RN,LOJA,5g,2026-01-01,75,65,-10
caico-rn,CAICO/RN,LOJA,ftth,2026-01-01,35,19,-16
caico-rn,CAICO/RN,PAP,ftth,2026-01-01,152,44,-108
cajazeiras-pb,CAJAZEIRAS/PB,DONO CIDADE - LOJAS,5g,2026-01-01,96,57,-39
cajazeiras-pb,CAJAZEIRAS/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,63,51,-12
cajazeiras-pb,CAJAZEIRAS/PB,PAP,ftth,2026-01-01,195,57,-138
camacari-ba,CAMACARI/BA,LOJA,ftth,2026-01-01,32,37,5
campina-grande-pb,CAMPINA GRANDE/PB,LOJA,5g,2026-01-01,135,76,-59
campina-grande-pb,CAMPINA GRANDE/PB,LOJA,ftth,2026-01-01,63,37,-26
campina-grande-pb,CAMPINA GRANDE/PB,PAP,ftth,2026-01-01,534,67,-467
campo-maior-pi,CAMPO MAIOR/PI,DONO CIDADE - LOJAS,ftth,2026-01-01,18,20,2
caninde-ce,CANINDE/CE,LOJA,5g,2026-01-01,56,65,9
caninde-ce,CANINDE/CE,LOJA,ftth,2026-01-01,29,24,-5
caninde-ce,CANINDE/CE,PAP,5g,2026-01-01,50,25,-25
caninde-ce,CANINDE/CE,PAP,ftth,2026-01-01,300,58,-242
caruaru-pe,CARUARU/PE,LOJA,5g,2026-01-01,42,68,26
caruaru-pe,CARUARU/PE,LOJA,ftth,2026-01-01,24,21,-3
caruaru-pe,CARUARU/PE,PAP,ftth,2026-01-01,728,117,-611
cascavel-ce,CASCAVEL/CE,DONO CIDADE - LOJAS,5g,2026-01-01,35,45,10
cascavel-ce,CASCAVEL/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,17,16,-1
cascavel-ce,CASCAVEL/CE,PAP,5g,2026-01-01,30,55,25
cascavel-ce,CASCAVEL/CE,PAP,ftth,2026-01-01,180,28,-152
catole-do-rocha-pb,CATOLE DO ROCHA/PB,DONO CIDADE - LOJAS,5g,2026-01-01,64,71,7
catole-do-rocha-pb,CATOLE DO ROCHA/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,24,38,14
catole-do-rocha-pb,CATOLE DO ROCHA/PB,PAP,5g,2026-01-01,20,4,-16
catole-do-rocha-pb,CATOLE DO ROCHA/PB,PAP,ftth,2026-01-01,120,17,-103
catu-ba,CATU/BA,LOJA,ftth,2026-01-01,12,14,2
caucaia-ce,CAUCAIA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,95,104,9
caucaia-ce,CAUCAIA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,19,20,1
caucaia-ce,CAUCAIA/CE,LOJA,5g,2026-01-01,95,70,-25
caucaia-ce,CAUCAIA/CE,LOJA,ftth,2026-01-01,19,4,-15
caucaia-ce,CAUCAIA/CE,PAP,ftth,2026-01-01,534,102,-432
ceara-mirim-rn,CEARA MIRIM/RN,PAP,ftth,2026-01-01,76,18,-58
ceara-mirim-rn,CEARA-MIRIM/RN,LOJA,5g,2026-01-01,90,116,26
ceara-mirim-rn,CEARA-MIRIM/RN,LOJA,ftth,2026-01-01,44,37,-7
cedro-ce,CEDRO/CE,LOJA,5g,2026-01-01,68,58,-10
cedro-ce,CEDRO/CE,LOJA,ftth,2026-01-01,30,15,-15
cedro-ce,CEDRO/CE,PAP,5g,2026-01-01,10,0,-10
cedro-ce,CEDRO/CE,PAP,ftth,2026-01-01,60,7,-53
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,PAP,5g,2026-01-01,10,30,20
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,PAP,ftth,2026-01-01,49,14,-35
crateus-ce,CRATEUS/CE,DONO CIDADE - LOJAS,5g,2026-01-01,45,73,28
crateus-ce,CRATEUS/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,25,26,1
crateus-ce,CRATEUS/CE,PAP,ftth,2026-01-01,304,47,-257
crato-ce,CRATO/CE,LOJA,5g,2026-01-01,84,96,12
crato-ce,CRATO/CE,LOJA,ftth,2026-01-01,34,50,16
crato-ce,CRATO/CE,PAP,ftth,2026-01-01,380,40,-340
custodia-pe,CUSTODIA/PE,DONO CIDADE - LOJAS,5g,2026-01-01,34,35,1
custodia-pe,CUSTODIA/PE,DONO CIDADE - LOJAS,ftth,2026-01-01,34,22,-12
custodia-pe,CUSTODIA/PE,PAP,5g,2026-01-01,10,9,-1
custodia-pe,CUSTODIA/PE,PAP,ftth,2026-01-01,60,5,-55
delmiro-gouveia-al,DELMIRO GOUVEIA/AL,4 J LOJAS,5g,2026-01-01,30,12,-18
delmiro-gouveia-al,DELMIRO GOUVEIA/AL,4 J LOJAS,ftth,2026-01-01,28,22,-6
dias-d-avila-ba,DIAS D'AVILA/BA,LOJA,ftth,2026-01-01,32,34,2
escada-pe,ESCADA/PE,DONO CIDADE - LOJAS,ftth,2026-01-01,24,19,-5
estancia-se,ESTANCIA/SE,LOJA,ftth,2026-01-01,25,30,5
eusebio-ce,EUSEBIO/CE,DONO CIDADE - LOJAS,5g,2026-01-01,56,71,15
eusebio-ce,EUSEBIO/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,31,1
eusebio-ce,EUSEBIO/CE,PAP,ftth,2026-01-01,305,67,-238
extremoz-rn,EXTREMOZ/RN,PAP,ftth,2026-01-01,274,65,-209
feira-de-santana-ba,FEIRA DE SANTANA/BA,LOJA,ftth,2026-01-01,20,19,-1
fortaleza-ce,FORTALEZA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,28,42,14
fortaleza-ce,FORTALEZA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,15,18,3
fortaleza-ce,FORTALEZA/CE,LOJA,5g,2026-01-01,151,168,17
fortaleza-ce,FORTALEZA/CE,LOJA,ftth,2026-01-01,34,13,-21
fortaleza-ce,FORTALEZA/CE,NGC,ftth,2026-01-01,270,31,-239
fortaleza-ce,FORTALEZA/CE,PAP,ftth,2026-01-01,2575,565,-2010
garanhuns-pe,GARANHUNS/PE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,53,23
garanhuns-pe,GARANHUNS/PE,LOJA,ftth,2026-01-01,30,46,16
gravata-pe,GRAVATA/PE,LOJA,5g,2026-01-01,36,21,-15
gravata-pe,GRAVATA/PE,LOJA,ftth,2026-01-01,32,26,-6
gravata-pe,GRAVATA/PE,PAP,5g,2026-01-01,30,33,3
gravata-pe,GRAVATA/PE,PAP,ftth,2026-01-01,180,21,-159
guaraciaba-do-norte-ce,GUARACIABA DO NORTE/CE,DONO CIDADE - LOJAS,5g,2026-01-01,70,63,-7
guaraciaba-do-norte-ce,GUARACIABA DO NORTE/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,19,-11
guaraciaba-do-norte-ce,GUARACIABA DO NORTE/CE,PAP,ftth,2026-01-01,76,3,-73
horizonte-ce,HORIZONTE/CE,DONO CIDADE - LOJAS,5g,2026-01-01,135,178,43
horizonte-ce,HORIZONTE/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,65,72,7
horizonte-ce,HORIZONTE/CE,PAP,ftth,2026-01-01,304,35,-269
ibiapina-ce,IBIAPINA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,23,1,-22
ibiapina-ce,IBIAPINA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,10,6,-4
ico-ce,ICO/CE,LOJA,5g,2026-01-01,165,153,-12
ico-ce,ICO/CE,LOJA,ftth,2026-01-01,96,61,-35
iguatu-ce,IGUATU/CE,LOJA,5g,2026-01-01,240,260,20
iguatu-ce,IGUATU/CE,LOJA,ftth,2026-01-01,102,138,36
iguatu-ce,IGUATU/CE,PAP,ftth,2026-01-01,269,58,-211
ipu-ce,IPU/CE,DONO CIDADE - LOJAS,5g,2026-01-01,78,69,-9
ipu-ce,IPU/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,34,31,-3
ipu-ce,IPU/CE,PAP,ftth,2026-01-01,79,13,-66
iracema-ce,IRACEMA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,64,58,-6
iracema-ce,IRACEMA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,22,35,13
iracema-ce,IRACEMA/CE,PAP,5g,2026-01-01,10,5,-5
iracema-ce,IRACEMA/CE,PAP,ftth,2026-01-01,49,3,-46
itapaje-ce,ITAPAJE/CE,DONO CIDADE - LOJAS,5g,2026-01-01,50,52,2
itapaje-ce,ITAPAJE/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,19,22,3
itapaje-ce,ITAPAJE/CE,PAP,5g,2026-01-01,15,19,4
itapaje-ce,ITAPAJE/CE,PAP,ftth,2026-01-01,87,9,-78
itapaje-ce,ITAPAJE/CE,QUIOSQUES,5g,2026-01-01,10,5,-5
itapaje-ce,ITAPAJE/CE,QUIOSQUES,ftth,2026-01-01,60,10,-50
itapipoca-ce,ITAPIPOCA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,114,129,15
itapipoca-ce,ITAPIPOCA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,54,46,-8
itapipoca-ce,ITAPIPOCA/CE,PAP,ftth,2026-01-01,152,21,-131
itapipoca-ce,ITAPIPOCA/CE,QUIOSQUES,ftth,2026-01-01,76,6,-70
jaboatao-dos-guararapes-pe,JABOATAO DOS GUARARAPES/PE,LOJA,ftth,2026-01-01,22,28,6
jaguaretama-ce,JAGUARETAMA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,46,44,-2
jaguaretama-ce,JAGUARETAMA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,17,25,8
jaguaretama-ce,JAGUARETAMA/CE,PAP,5g,2026-01-01,9,22,13
jaguaretama-ce,JAGUARETAMA/CE,PAP,ftth,2026-01-01,57,5,-52
jaguaribara-ce,JAGUARIBARA/CE,PAP,5g,2026-01-01,10,38,28
jaguaribara-ce,JAGUARIBARA/CE,PAP,ftth,2026-01-01,60,7,-53
jaguaribe-ce,JAGUARIBE/CE,DONO CIDADE - LOJAS,5g,2026-01-01,129,140,11
jaguaribe-ce,JAGUARIBE/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,54,30,-24
jaguaribe-ce,JAGUARIBE/CE,PAP,5g,2026-01-01,40,11,-29
jaguaribe-ce,JAGUARIBE/CE,PAP,ftth,2026-01-01,240,50,-190
jeremoabo-ba,JEREMOABO/BA,4 J LOJAS,5g,2026-01-01,40,42,2
jeremoabo-ba,JEREMOABO/BA,4 J LOJAS,ftth,2026-01-01,18,26,8
joao-pessoa-pb,JOAO PESSOA/PB,LOJA,5g,2026-01-01,170,168,-2
joao-pessoa-pb,JOAO PESSOA/PB,LOJA,ftth,2026-01-01,94,101,7
joao-pessoa-pb,JOAO PESSOA/PB,NGC,ftth,2026-01-01,448,182,-266
joao-pessoa-pb,JOAO PESSOA/PB,PAP,ftth,2026-01-01,1424,208,-1216
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,DONO CIDADE - LOJAS,5g,2026-01-01,495,390,-105
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,236,157,-79
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,PAP,ftth,2026-01-01,1312,217,-1095
juazeiro-ba,JUAZEIRO/BA,DONO CIDADE - LOJAS,ftth,2026-01-01,10,23,13
juazeiro-ba,JUAZEIRO/BA,PAP,ftth,2026-01-01,587,189,-398
lagarto-se,LAGARTO/SE,LOJA,ftth,2026-01-01,13,20,7
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,LOJA,5g,2026-01-01,68,46,-22
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,LOJA,ftth,2026-01-01,32,27,-5
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,PAP,5g,2026-01-01,10,0,-10
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,PAP,ftth,2026-01-01,60,6,-54
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,DONO CIDADE - LOJAS,5g,2026-01-01,104,131,27
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,48,48,0
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,PAP,5g,2026-01-01,30,18,-12
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,PAP,ftth,2026-01-01,180,39,-141
limoeiro-pe,LIMOEIRO/PE,LOJA,ftth,2026-01-01,18,21,3
luis-correia-pi,LUIS CORREIA/PI,PAP,ftth,2026-01-01,76,12,-64
macaiba-rn,MACAIBA/RN,LOJA,5g,2026-01-01,40,50,10
macaiba-rn,MACAIBA/RN,LOJA,ftth,2026-01-01,23,29,6
macaiba-rn,MACAIBA/RN,PAP,ftth,2026-01-01,320,63,-257
macau-rn,MACAU/RN,PAP,5g,2026-01-01,20,9,-11
macau-rn,MACAU/RN,PAP,ftth,2026-01-01,82,6,-76
macau-rn,MACAU/RN,QUIOSQUES,5g,2026-01-01,20,30,10
macau-rn,MACAU/RN,QUIOSQUES,ftth,2026-01-01,82,20,-62
maceio-al,MACEIO/AL,LOJA,ftth,2026-01-01,20,25,5
major-sales-rn,MAJOR SALES/RN,DONO CIDADE - LOJAS,5g,2026-01-01,52,40,-12
major-sales-rn,MAJOR SALES/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,30,32,2
major-sales-rn,MAJOR SALES/RN,PAP,5g,2026-01-01,35,35,0
major-sales-rn,MAJOR SALES/RN,PAP,ftth,2026-01-01,39,14,-25
maracanau-ce,MARACANAU/CE,DONO CIDADE - LOJAS,5g,2026-01-01,65,64,-1
maracanau-ce,MARACANAU/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,15,22,7
maracanau-ce,MARACANAU/CE,LOJA,5g,2026-01-01,195,189,-6
maracanau-ce,MARACANAU/CE,LOJA,ftth,2026-01-01,45,23,-22
maracanau-ce,MARACANAU/CE,PAP,ftth,2026-01-01,534,113,-421
maranguape-ce,MARANGUAPE/CE,DONO CIDADE - LOJAS,5g,2026-01-01,96,111,15
maranguape-ce,MARANGUAPE/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,34,28,-6
maranguape-ce,MARANGUAPE/CE,PAP,ftth,2026-01-01,639,108,-531
milagres-ce,MILAGRES/CE,LOJA,5g,2026-01-01,80,79,-1
milagres-ce,MILAGRES/CE,LOJA,ftth,2026-01-01,41,41,0
milagres-ce,MILAGRES/CE,PAP,5g,2026-01-01,10,2,-8
milagres-ce,MILAGRES/CE,PAP,ftth,2026-01-01,60,5,-55
missao-velha-ce,MISSAO VELHA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,72,43,-29
missao-velha-ce,MISSAO VELHA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,42,23,-19
missao-velha-ce,MISSAO VELHA/CE,PAP,5g,2026-01-01,10,0,-10
missao-velha-ce,MISSAO VELHA/CE,PAP,ftth,2026-01-01,60,11,-49
mombaca-ce,MOMBACA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,20,10,-10
mombaca-ce,MOMBACA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,10,4,-6
mombaca-ce,MOMBACA/CE,LOJA,5g,2026-01-01,20,23,3
mombaca-ce,MOMBACA/CE,LOJA,ftth,2026-01-01,10,8,-2
mombaca-ce,MOMBACA/CE,PAP,5g,2026-01-01,20,10,-10
mombaca-ce,MOMBACA/CE,PAP,ftth,2026-01-01,120,36,-84
morada-nova-ce,MORADA NOVA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,74,89,15
morada-nova-ce,MORADA NOVA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,36,35,-1
morada-nova-ce,MORADA NOVA/CE,PAP,5g,2026-01-01,30,37,7
morada-nova-ce,MORADA NOVA/CE,PAP,ftth,2026-01-01,180,40,-140
mossoro-rn,MOSSORO/RN,DONO CIDADE - LOJAS,5g,2026-01-01,132,271,139
mossoro-rn,MOSSORO/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,39,24,-15
mossoro-rn,MOSSORO/RN,PAP,ftth,2026-01-01,886,121,-765
natal-rn,NATAL/RN,LOJA,5g,2026-01-01,490,561,71
natal-rn,NATAL/RN,LOJA,ftth,2026-01-01,116,99,-17
natal-rn,NATAL/RN,NGC,ftth,2026-01-01,871,176,-695
natal-rn,NATAL/RN,PAP,ftth,2026-01-01,1618,310,-1308
nisia-floresta-rn,NISIA FLORESTA/RN,PAP,5g,2026-01-01,20,14,-6
nisia-floresta-rn,NISIA FLORESTA/RN,PAP,ftth,2026-01-01,120,9,-111
nossa-senhora-do-socorro-se,NOSSA SENHORA DO SOCORRO/SE,LOJA,ftth,2026-01-01,28,55,27
olho-d-agua-das-flores-al,OLHO D'AGUA DAS FLORES/AL,4 J LOJAS,5g,2026-01-01,30,12,-18
olho-d-agua-das-flores-al,OLHO D'AGUA DAS FLORES/AL,4 J LOJAS,ftth,2026-01-01,16,16,0
oros-ce,OROS/CE,LOJA,5g,2026-01-01,46,57,11
oros-ce,OROS/CE,LOJA,ftth,2026-01-01,14,31,17
oros-ce,OROS/CE,PAP,5g,2026-01-01,10,1,-9
oros-ce,OROS/CE,PAP,ftth,2026-01-01,60,21,-39
ouricuri-pe,OURICURI/PE,DONO CIDADE - LOJAS,5g,2026-01-01,38,20,-18
ouricuri-pe,OURICURI/PE,DONO CIDADE - LOJAS,ftth,2026-01-01,28,28,0
ouricuri-pe,OURICURI/PE,PAP,ftth,2026-01-01,228,35,-193
pacajus-ce,PACAJUS/CE,DONO CIDADE - LOJAS,5g,2026-01-01,56,84,28
pacajus-ce,PACAJUS/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,30,32,2
pacajus-ce,PACAJUS/CE,PAP,ftth,2026-01-01,152,38,-114
palmeira-dos-indios-al,PALMEIRA DOS INDIOS/AL,LOJA,ftth,2026-01-01,23,34,11
paraipaba-ce,PARAIPABA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,50,69,19
paraipaba-ce,PARAIPABA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,19,23,4
paraipaba-ce,PARAIPABA/CE,PAP,ftth,2026-01-01,152,43,-109
parnaiba-pi,PARNAIBA/PI,DONO CIDADE - LOJAS,5g,2026-01-01,38,52,14
parnaiba-pi,PARNAIBA/PI,DONO CIDADE - LOJAS,ftth,2026-01-01,25,16,-9
parnaiba-pi,PARNAIBA/PI,PAP,ftth,2026-01-01,747,218,-529
parnamirim-rn,PARNAMIRIM/RN,DONO CIDADE - LOJAS,5g,2026-01-01,220,296,76
parnamirim-rn,PARNAMIRIM/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,92,117,25
parnamirim-rn,PARNAMIRIM/RN,PAP,ftth,2026-01-01,537,132,-405
patos-pb,PATOS/PB,DONO CIDADE - LOJAS,5g,2026-01-01,135,199,64
patos-pb,PATOS/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,60,122,62
patos-pb,PATOS/PB,PAP,ftth,2026-01-01,328,53,-275
patos-pb,PATOS/PB,QUIOSQUES,ftth,2026-01-01,82,15,-67
pau-dos-ferros-rn,PAU DOS FERROS/RN,DONO CIDADE - LOJAS,5g,2026-01-01,150,193,43
pau-dos-ferros-rn,PAU DOS FERROS/RN,DONO CIDADE - LOJAS,ftth,2026-01-01,54,47,-7
pau-dos-ferros-rn,PAU DOS FERROS/RN,PAP,5g,2026-01-01,11,0,-11
pau-dos-ferros-rn,PAU DOS FERROS/RN,PAP,ftth,2026-01-01,63,21,-42
pau-dos-ferros-rn,PAU DOS FERROS/RN,QUIOSQUES,5g,2026-01-01,10,1,-9
pau-dos-ferros-rn,PAU DOS FERROS/RN,QUIOSQUES,ftth,2026-01-01,60,11,-49
paulista-pe,PAULISTA/PE,LOJA,ftth,2026-01-01,24,29,5
paulo-afonso-ba,PAULO AFONSO/BA,4 J LOJAS,5g,2026-01-01,40,41,1
paulo-afonso-ba,PAULO AFONSO/BA,4 J LOJAS,ftth,2026-01-01,18,18,0
pedra-branca-ce,PEDRA BRANCA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,59,57,-2
pedra-branca-ce,PEDRA BRANCA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,21,21,0
pedra-branca-ce,PEDRA BRANCA/CE,PAP,5g,2026-01-01,10,14,4
pedra-branca-ce,PEDRA BRANCA/CE,PAP,ftth,2026-01-01,60,3,-57
pereiro-ce,PEREIRO/CE,DONO CIDADE - LOJAS,5g,2026-01-01,46,46,0
pereiro-ce,PEREIRO/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,10,5,-5
pereiro-ce,PEREIRO/CE,ONLINE,5g,2026-01-01,746,103,-643
pereiro-ce,PEREIRO/CE,ONLINE,ftth,2026-01-01,5754,1487,-4267
pesqueira-pe,PESQUEIRA/PE,LOJA,5g,2026-01-01,22,8,-14
pesqueira-pe,PESQUEIRA/PE,LOJA,ftth,2026-01-01,12,7,-5
pesqueira-pe,PESQUEIRA/PE,PAP,ftth,2026-01-01,3,0,-3
petrolina-pe,PETROLINA/PE,DONO CIDADE - LOJAS,5g,2026-01-01,56,77,21
petrolina-pe,PETROLINA/PE,DONO CIDADE - LOJAS,ftth,2026-01-01,26,20,-6
petrolina-pe,PETROLINA/PE,PAP,ftth,2026-01-01,626,207,-419
picos-pi,PICOS/PI,DONO CIDADE - LOJAS,ftth,2026-01-01,8,12,4
piranhas-al,PIRANHAS/AL,4 J LOJAS,5g,2026-01-01,5,1,-4
piranhas-al,PIRANHAS/AL,4 J LOJAS,ftth,2026-01-01,3,4,1
piripiri-pi,PIRIPIRI/PI,DONO CIDADE - LOJAS,ftth,2026-01-01,22,24,2
pombal-pb,POMBAL/PB,DONO CIDADE - LOJAS,5g,2026-01-01,42,23,-19
pombal-pb,POMBAL/PB,DONO CIDADE - LOJAS,ftth,2026-01-01,14,11,-3
pombal-pb,POMBAL/PB,PAP,5g,2026-01-01,20,7,-13
pombal-pb,POMBAL/PB,PAP,ftth,2026-01-01,120,23,-97
quixada-ce,QUIXADA/CE,DONO CIDADE - LOJAS,5g,2026-01-01,172,128,-44
quixada-ce,QUIXADA/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,76,60,-16
quixada-ce,QUIXADA/CE,PAP,ftth,2026-01-01,152,20,-132
quixeramobim-ce,QUIXERAMOBIM/CE,DONO CIDADE - LOJAS,5g,2026-01-01,120,103,-17
quixeramobim-ce,QUIXERAMOBIM/CE,DONO CIDADE - LOJAS,ftth,2026-01-01,46,44,-2
quixeramobim-ce,QUIXERAMOBIM/CE,PAP,ftth,2026-01-01,141,41,-100
quixeramobim-ce,QUIXERAMOBIM/CE,QUIOSQUES,ftth,2026-01-01,76,20,-56
