cidade_slug,cidade_origem,tecnologia,mes_ref,total_vendedores,q1,q2,q3,q4,q5,sem_meta,atingimento_medio,quintil_cidade
catu-ba,CATU/BA,ftth,2026-01-01,1,1,0,0,0,0,0,1.1667,1
caucaia-ce,CAUCAIA/CE,ftth,2026-01-01,8,1,0,1,5,1,0,0.5563,4
caucaia-ce,CAUCAIA/CE,5g,2026-01-01,8,1,0,1,0,0,6,0.9158,2
ceara-mirim-rn,CEARA-MIRIM/RN,ftth,2026-01-01,3,1,0,1,1,0,0,0.7749,3
ceara-mirim-rn,CEARA-MIRIM/RN,5g,2026-01-01,3,2,0,0,0,0,1,1.2889,1
cedro-ce,CEDRO/CE,ftth,2026-01-01,3,0,0,1,2,0,0,0.463,4
cedro-ce,CEDRO/CE,5g,2026-01-01,3,0,2,0,0,1,0,0.5686,4
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,ftth,2026-01-01,1,0,1,0,0,0,0,0.9333,2
coronel-joao-pessoa-rn,CORONEL JOAO PESSOA/RN,5g,2026-01-01,1,1,0,0,0,0,0,3,1
crateus-ce,CRATEUS/CE,ftth,2026-01-01,6,1,0,1,1,2,1,0.5437,4
crateus-ce,CRATEUS/CE,5g,2026-01-01,6,1,0,0,0,0,5,1.6222,1
crato-ce,CRATO/CE,ftth,2026-01-01,7,2,0,0,2,3,0,0.6242,3
crato-ce,CRATO/CE,5g,2026-01-01,7,2,0,0,0,0,5,1.1429,1
custodia-pe,CUSTODIA/PE,ftth,2026-01-01,3,0,0,1,1,1,0,0.524,4
custodia-pe,CUSTODIA/PE,5g,2026-01-01,3,1,2,0,0,0,0,0.9863,2
delmiro-gouveia-al,DELMIRO GOUVEIA/AL,ftth,2026-01-01,2,0,1,1,0,0,0,0.7857,3
delmiro-gouveia-al,DELMIRO GOUVEIA/AL,5g,2026-01-01,2,0,0,0,1,1,0,0.4,4
dias-d-avila-ba,DIAS D'AVILA/BA,ftth,2026-01-01,2,1,0,0,1,0,0,1.0625,1
escada-pe,ESCADA/PE,ftth,2026-01-01,2,1,0,0,1,0,0,0.7917,3
estancia-se,ESTANCIA/SE,ftth,2026-01-01,2,1,0,0,0,0,1,1.2,1
eusebio-ce,EUSEBIO/CE,ftth,2026-01-01,6,1,2,0,3,0,0,0.7409,3
eusebio-ce,EUSEBIO/CE,5g,2026-01-01,6,2,0,0,0,0,4,1.2679,1
extremoz-rn,EXTREMOZ/RN,ftth,2026-01-01,4,0,0,3,1,0,0,0.6439,3
feira-de-santana-ba,FEIRA DE SANTANA/BA,ftth,2026-01-01,2,0,1,0,0,0,1,0.95,2
fortaleza-ce,FORTALEZA/CE,ftth,2026-01-01,42,7,5,6,16,7,1,0.786,3
fortaleza-ce,FORTALEZA/CE,5g,2026-01-01,42,2,0,1,0,0,39,1.2402,1
garanhuns-pe,GARANHUNS/PE,ftth,2026-01-01,2,2,0,0,0,0,0,1.65,1
gravata-pe,GRAVATA/PE,ftth,2026-01-01,5,1,0,0,2,2,0,0.5583,4
gravata-pe,GRAVATA/PE,5g,2026-01-01,5,3,1,0,0,1,0,0.8933,2
guaraciaba-do-norte-ce,GUARACIABA DO NORTE/CE,ftth,2026-01-01,3,1,0,0,0,2,0,0.4579,4
guaraciaba-do-norte-ce,GUARACIABA DO NORTE/CE,5g,2026-01-01,3,1,0,1,0,0,1,0.9,2
horizonte-ce,HORIZONTE/CE,ftth,2026-01-01,7,1,2,1,0,3,0,0.6782,3
horizonte-ce,HORIZONTE/CE,5g,2026-01-01,7,3,0,0,0,0,4,1.321,1
ibiapina-ce,IBIAPINA/CE,ftth,2026-01-01,1,0,0,1,0,0,0,0.6,3
ibiapina-ce,IBIAPINA/CE,5g,2026-01-01,1,0,0,0,0,1,0,0.0435,5
ico-ce,ICO/CE,ftth,2026-01-01,3,0,1,0,2,0,0,0.6354,3
ico-ce,ICO/CE,5g,2026-01-01,3,0,3,0,0,0,0,0.9273,2
iguatu-ce,IGUATU/CE,ftth,2026-01-01,9,5,3,0,0,1,0,1.0374,1
iguatu-ce,IGUATU/CE,5g,2026-01-01,9,5,0,0,0,0,4,1.0833,1
ipu-ce,IPU/CE,ftth,2026-01-01,4,2,1,0,1,0,0,1.0541,1
ipu-ce,IPU/CE,5g,2026-01-01,4,0,1,1,0,0,2,0.8846,2
iracema-ce,IRACEMA/CE,ftth,2026-01-01,3,2,0,0,0,1,0,1.1273,1
iracema-ce,IRACEMA/CE,5g,2026-01-01,3,1,1,0,1,0,0,0.7708,3
itapaje-ce,ITAPAJE/CE,ftth,2026-01-01,4,1,0,0,3,0,0,0.6054,3
itapaje-ce,ITAPAJE/CE,5g,2026-01-01,4,2,0,0,2,0,0,1.235,1
itapipoca-ce,ITAPIPOCA/CE,ftth,2026-01-01,6,1,1,0,2,2,0,0.5866,4
itapipoca-ce,ITAPIPOCA/CE,5g,2026-01-01,6,3,0,0,0,0,3,1.1316,1
jaboatao-dos-guararapes-pe,JABOATAO DOS GUARARAPES/PE,ftth,2026-01-01,2,2,0,0,0,0,0,1.275,1
jaguaretama-ce,JAGUARETAMA/CE,ftth,2026-01-01,3,1,0,0,0,1,1,0.8824,2
jaguaretama-ce,JAGUARETAMA/CE,5g,2026-01-01,3,1,1,0,0,0,1,1.7005,1
jaguaribara-ce,JAGUARIBARA/CE,ftth,2026-01-01,1,0,0,0,1,0,0,0.3889,4
jaguaribara-ce,JAGUARIBARA/CE,5g,2026-01-01,1,1,0,0,0,0,0,3.8,1
jaguaribe-ce,JAGUARIBE/CE,ftth,2026-01-01,7,1,1,1,3,1,0,0.6349,3
jaguaribe-ce,JAGUARIBE/CE,5g,2026-01-01,7,2,1,0,3,1,0,0.6223,3
jeremoabo-ba,JEREMOABO/BA,ftth,2026-01-01,2,2,0,0,0,0,0,1.4444,1
jeremoabo-ba,JEREMOABO/BA,5g,2026-01-01,2,2,0,0,0,0,0,1.05,1
joao-pessoa-pb,JOAO PESSOA/PB,ftth,2026-01-01,27,9,1,3,6,7,1,0.7066,3
