cidade_slug,cidade_origem,tecnologia,indicador_id,canal,mes_ref,semana_mes,primeiro_dia_semana,ultimo_dia_semana,valor
abaiara-ce,ABAIARA/CE,5g,ativacao,AGILITY,2026-01-01,,,,33
abaiara-ce,ABAIARA/CE,5g,ativacao,LOJA,2026-01-01,,,,4
acarape-ce,ACARAPE/CE,5g,ativacao,AGILITY,2026-01-01,,,,94
acarau-ce,ACARAU/CE,5g,ativacao,LOJA,2026-01-01,,,,49
acarau-ce,ACARAU/CE,5g,ativacao,PAP,2026-01-01,,,,17
acarau-ce,ACARAU/CE,5g,ativacao,SEM NICHO,2026-01-01,,,,15
acopiara-ce,ACOPIARA/CE,5g,ativacao,LOJA,2026-01-01,,,,40
agua-nova-rn,AGUA NOVA/RN,5g,ativacao,PAP,2026-01-01,,,,5
agua-nova-rn,AGUA NOVA/RN,5g,ativacao,SEM NICHO,2026-01-01,,,,1
alagoinha-pb,ALAGOINHA/PB,5g,ativacao,PAP,2026-01-01,,,,1
alto-do-rodrigues-rn,ALTO DO RODRIGUES/RN,5g,ativacao,AGILITY,2026-01-01,,,,1
alto-do-rodrigues-rn,ALTO DO RODRIGUES/RN,5g,ativacao,VAREJO REDES,2026-01-01,,,,6
alto-santo-ce,ALTO SANTO/CE,5g,ativacao,AGILITY,2026-01-01,,,,45
amontada-ce,AMONTADA/CE,5g,ativacao,AGILITY,2026-01-01,,,,5
angicos-rn,ANGICOS/RN,5g,ativacao,AGILITY,2026-01-01,,,,72
antonina-do-norte-ce,ANTONINA DO NORTE/CE,5g,ativacao,AGENTE PARCEIROS,2026-01-01,,,,27
apodi-rn,APODI/RN,5g,ativacao,AGILITY,2026-01-01,,,,5
apodi-rn,APODI/RN,5g,ativacao,LOJA,2026-01-01,,,,86
apodi-rn,APODI/RN,5g,ativacao,PAP,2026-01-01,,,,27
aquidauana-ms,AQUIDAUANA/MS,5g,ativacao,EMBAIXADORES BRISA,2026-01-01,,,,61
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,INDICA BRISA,2026-01-01,,,,14
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,LOJA,2026-01-01,,,,25
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,PAP,2026-01-01,,,,25
aquiraz-ce,AQUIRAZ/CE,5g,ativacao,SEM NICHO,2026-01-01,,,,2
aracati-ce,ARACATI/CE,5g,ativacao,AGILITY,2026-01-01,,,,499
aracati-ce,ARACATI/CE,5g,ativacao,AUTOATENDIMENTO,2026-01-01,,,,1
aracati-ce,ARACATI/CE,5g,ativacao,LOJA,2026-01-01,,,,11
aracoiaba-ce,ARACOIABA/CE,5g,ativacao,AGENTE PARCEIROS,2026-01-01,,,,5
aracoiaba-ce,ARACOIABA/CE,5g,ativacao,VAREJO QUIOSQUE,2026-01-01,,,,1
arara-pb,ARARA/PB,5g,ativacao,PAP,2026-01-01,,,,53
araripina-pe,ARARIPINA/PE,5g,ativacao,AGENTE PARCEIROS,2026-01-01,,,,15
araripina-pe,ARARIPINA/PE,5g,ativacao,PAP,2026-01-01,,,,3
arcoverde-pe,ARCOVERDE/PE,5g,ativacao,LOJA,2026-01-01,,,,22
arcoverde-pe,ARCOVERDE/PE,5g,ativacao,PAP,2026-01-01,,,,6
areia-branca-rn,AREIA BRANCA/RN,5g,ativacao,AGILITY,2026-01-01,,,,248
arneiroz-ce,ARNEIROZ/CE,5g,ativacao,AGENTE PARCEIROS,2026-01-01,,,,14
arneiroz-ce,ARNEIROZ/CE,5g,ativacao,VAREJO REDES,2026-01-01,,,,1
assu-rn,ASSU/RN,5g,ativacao,LOJA,2026-01-01,,,,94
assu-rn,ASSU/RN,5g,ativacao,PAP,2026-01-01,,,,21
assu-rn,ASSU/RN,5g,ativacao,SEM NICHO,2026-01-01,,,,9
assu-rn,ASSU/RN,5g,ativacao,VAREJO REDES,2026-01-01,,,,17
aurora-ce,AURORA/CE,5g,ativacao,PAP,2026-01-01,,,,44
banabuiu-ce,BANABUIU/CE,5g,ativacao,LOJA,2026-01-01,,,,36
barauna-rn,BARAUNA/RN,5g,ativacao,LOJA,2026-01-01,,,,80
