cidade_slug,cidade_origem,tecnologia,indicador_id,canal,mes_ref,semana_mes,primeiro_dia_semana,ultimo_dia_semana,valor
ico-ce,ICO/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,52
ico-ce,ICO/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,20
ico-ce,ICO/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
iguaracy-pe,IGUARACY/PE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,17
iguatu-ce,IGUATU/CE,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,5
iguatu-ce,IGUATU/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,6
iguatu-ce,IGUATU/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,26
iguatu-ce,IGUATU/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,55
iguatu-ce,IGUATU/CE,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,1
iguatu-ce,IGUATU/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,2
independencia-ce,INDEPENDENCIA/CE,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,1
independencia-ce,INDEPENDENCIA/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
ingazeira-pe,INGAZEIRA/PE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
ipanguacu-rn,IPANGUACU/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,2
ipanguacu-rn,IPANGUACU/RN,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,1
ipaporanga-ce,IPAPORANGA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,11
ipaporanga-ce,IPAPORANGA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,2
ipaumirim-ce,IPAUMIRIM/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,14
ipu-ce,IPU/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,1
ipu-ce,IPU/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,7
ipu-ce,IPU/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,22
ipueiras-ce,IPUEIRAS/CE,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,1
ipueiras-ce,IPUEIRAS/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,5
iracema-ce,IRACEMA/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,1
iracema-ce,IRACEMA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,6
iracema-ce,IRACEMA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,2
